#,Prioridad,Tipo de solapamiento,Keyword / términos en común,Título,URL actual,Categoría,Keyword principal,Clics,Impresiones,CTR,Posición,Palabras,Modificado,Acción sugerida
,,,,10 Best Restaurants in Lima Every Traveler Should Try,https://www.perugrandtravel.com/blog/best-restaurants-in-lima/,Lima,best restaurants in Lima,27,37511,0.000719788861933833,53.1,1094,2025-08-26,Diferenciar intención de búsqueda o fusionar
7,Media,Keyword compartida (principal vs. secundaria),barranco,"Bridge of Sighs: The most romantic place in Barranco, Lima",https://www.perugrandtravel.com/blog/bridge-of-sighs-barranco-lima/,Lima,bridge of sighs,115,23525,0.0048884165781084,8.52,506,2024-09-30,CANÓNICA — consolidar aquí
,,,,What to do and see in Barranco,https://www.perugrandtravel.com/blog/what-to-do-in-barranco/,Lima,Barranco,62,24124,0.00257005471729398,13.03,975,2024-09-30,Diferenciar intención de búsqueda o fusionar
8,Media,Keyword compartida (principal vs. secundaria),festivals in peru,Unmissable Festivals in Peru: Monthly Guide to Celebrations during 2026,https://www.perugrandtravel.com/blog/festivals-in-peru-2026/,Cusco,Festivals in Peru,174,31510,0.00552205649000317,7.22,3456,2025-12-19,CANÓNICA — consolidar aquí
,,,,Traditional Festivals and Celebrations in Peru,https://www.perugrandtravel.com/blog/festivals-and-holidays-in-peru/,Cusco,celebrations in peru,11,15693,0.000700949467915631,38.61,2300,2025-10-13,Fusionar y redirigir 301 a la canónica
9,Alta,Keyword principal idéntica,lima,Places to Visit in Downtown Lima: Explore Lima's Heritage,https://www.perugrandtravel.com/blog/places-to-visit-in-the-center-of-lima/,Lima,lima,70,25286,0.00276833030135253,11.41,1502,2024-09-30,CANÓNICA — consolidar aquí
,,,,7 Museums to Visit in Lima: Discover the Cultural Heritage,https://www.perugrandtravel.com/blog/museums-in-lima/,Lima,lima,8,3757,0.00212935853074261,24.59,1758,2024-09-30,Fusionar y redirigir 301 a la canónica
,,,,Discover Lima: What to see and do in the peruvian capital,https://www.perugrandtravel.com/blog/what-to-see-and-do-in-lima/,Lima,lima,2,9643,0.000207404334750596,62.95,1328,2024-09-30,Fusionar y redirigir 301 a la canónica
10,Alta,Keyword principal idéntica,how to get from lima to cusco,How to Get from Lima to Cusco According to Your Travel Style,https://www.perugrandtravel.com/blog/how-to-get-from-lima-cusco/,Perú,how to get from lima to cusco,19,19916,0.000954006828680458,24.37,1153,2025-12-16,CANÓNICA — consolidar aquí
,,,,Getting from Lima to Cusco: Complete guide 2024,https://www.perugrandtravel.com/blog/how-to-get-from-lima-to-cusco/,Cusco,How to get from Lima to Cusco,19,16704,0.00113745210727969,37.34,1255,2025-12-16,Diferenciar intención de búsqueda o fusionar
11,Baja,Títulos muy similares (Jaccard 0.62),"climate, seasons, time, visit, weather","Weather in Puno: Climate, Seasons, and Best Time to Visit",https://www.perugrandtravel.com/blog/weather-in-puno-peru/,Puno,Weather in Puno,76,18021,0.00421730203651296,5.65,2838,2026-01-20,CANÓNICA — consolidar aquí
,,,,"Trujillo Peru Weather: Climate, Seasons &amp; Best Time to Visit",https://www.perugrandtravel.com/blog/trujillo-peru-weather/,Perú,Trujillo Peru Weather,45,13111,0.00343223247654641,6.49,1672,2026-01-15,Diferenciar intención de búsqueda o fusionar
12,Alta,Keyword principal idéntica,where is machu picchu,Where is Machu Picchu? Discover its location in Peru,https://www.perugrandtravel.com/blog/where-is-machu-picchu/,Cusco,where is machu picchu,18,27023,0.000666099248788069,43.38,1102,2024-09-28,CANÓNICA — consolidar aquí
,,,,Where is Machu Picchu? Quick Guide to Its Location,https://www.perugrandtravel.com/blog/where-is-machu-picchu-guide/,Cusco,where is machu picchu,0,3122,0,50.76,1271,2025-06-20,Fusionar y redirigir 301 a la canónica
13,Alta,Keyword principal idéntica,ica,Things to do and see in Ica: Natural and Cultural Wealth,https://www.perugrandtravel.com/blog/things-to-do-in-ica/,Ica,ica,80,29616,0.00270124257158293,11.36,2952,2024-09-30,CANÓNICA — consolidar aquí
,,,,"Family Tourism in Nazca, Paracas, and Ica: An Unforgettable Journey for All Ages",https://www.perugrandtravel.com/blog/family-tourism-in-nazca-paracas-ica/,Ica,ica,0,307,0,13.64,1483,2024-08-21,Fusionar y redirigir 301 a la canónica
,,,,Adventure in Ica: Buggy & Nazca Lines,https://www.perugrandtravel.com/blog/adventure-in-ica/,Ica,ica,,,,,1738,2024-09-30,Fusionar y redirigir 301 a la canónica
14,Media,Títulos muy similares (Jaccard 0.75),"didn, facts, interesting, know, machu, picchu",10 Interesting Facts About Machu Picchu You Didn’t Know,https://www.perugrandtravel.com/blog/interesting-facts-about-machu-picchu-on-your-travel/,Cusco,interesting facts about machu picchu,66,26388,0.00250113688040018,15.79,966,2025-05-30,CANÓNICA — consolidar aquí
,,,,7 Interesting Facts About Machu Picchu You Probably Didn't Know,https://www.perugrandtravel.com/blog/interesting-facts-about-machu-picchu/,Cusco,Facts About Machu Picchu,0,1127,0,30.26,1300,2026-02-23,Fusionar y redirigir 301 a la canónica
15,Alta,Keyword principal idéntica,cusco tourist ticket,Quick Guide to the Cusco Tourist Ticket: BTP and BTG 2025,https://www.perugrandtravel.com/blog/cusco-tourist-ticket-peru/,Cusco,cusco tourist ticket,106,24996,0.00424067850856137,10.9,1318,2025-05-29,CANÓNICA — consolidar aquí
,,,,BTC - Cusco Tourist Ticket: Everything You Need to Know,https://www.perugrandtravel.com/blog/cusco-tourist-ticket/,Cusco,Cusco Tourist Ticket,0,189,0,25.82,1560,2026-01-28,Fusionar y redirigir 301 a la canónica
16,Alta,Keyword principal idéntica,peruvian pisco,"The Ultimate Encyclopedia of Peruvian Pisco: History, Alchemy, and the Spirit of the Andes (2026 Edition)",https://www.perugrandtravel.com/blog/peruvian-pisco-2026/,Perú,Peruvian Pisco,41,23700,0.00172995780590717,5.83,3873,2026-05-16,CANÓNICA — consolidar aquí
,,,,Discover Peruvian Pisco from Ica: The Spirit of an Ancestral Tradition,https://www.perugrandtravel.com/blog/peruvian-pisco-from-ica/,Ica,peruvian pisco,,,,,1651,2024-08-21,Fusionar y redirigir 301 a la canónica
17,Baja,Títulos muy similares (Jaccard 0.6),"machu, picchu, time",The best time to visit Machu Picchu,https://www.perugrandtravel.com/blog/best-time-to-visit-machu-picchu/,Cusco,best time to visit Machu Picchu,3,11615,0.000258286698235041,53.3,2121,2025-01-30,CANÓNICA — consolidar aquí
,,,,What is the best time to travel to Peru - Machu Picchu?,https://www.perugrandtravel.com/blog/what-is-the-best-time-to-travel-to-peru-machu-picchu/,Cusco,best time to travel to peru,0,10711,0,80.86,1226,2024-09-28,Fusionar y redirigir 301 a la canónica
18,Media,Keyword compartida (principal vs. secundaria),cusco,Best Markets in Cusco: San Pedro and San Blas,https://www.perugrandtravel.com/blog/best-markets-in-cusco/,Cusco,Markets,117,18309,0.00639029985253154,15.53,448,2024-09-28,CANÓNICA — consolidar aquí
,,,,Useful recommendations for travel to Cusco,https://www.perugrandtravel.com/blog/recommendations-for-traveling-to-cusco/,Cusco,recommendations,1,626,0.00159744408945687,53.31,1212,2024-09-28,Fusionar y redirigir 301 a la canónica
,,,,Tourist Attractions in Cusco You Shouldn't Miss,https://www.perugrandtravel.com/blog/cusco-tourist-places/,Cusco,Cusco,0,1670,0,52.64,1514,2024-09-30,Fusionar y redirigir 301 a la canónica
,,,,Top 7 tourist attractions in Cusco not to be missed,https://www.perugrandtravel.com/blog/cusco-tourist-attractions/,Cusco,attractions,0,1365,0,64.26,1013,2024-09-28,Fusionar y redirigir 301 a la canónica
19,Media,Keyword compartida (principal vs. secundaria),peruvian paso horse,"Trujillo Marinera Festival: Dates, History, and the Best Cultural Experience in Peru",https://www.perugrandtravel.com/blog/trujillo-marinera-festival/,Perú,Trujillo Marinera Festival,60,8694,0.00690131124913734,6.34,2131,2026-04-14,CANÓNICA — consolidar aquí
,,,,"Peruvian Paso Horse: History, Gait, Temperament, and Where to See One in Peru",https://www.perugrandtravel.com/blog/peruvian-paso-horse/,Perú,Peruvian Paso Horse,34,13202,0.00257536736858052,9.5,2612,2026-04-20,Diferenciar intención de búsqueda o fusionar
20,Baja,Títulos muy similares (Jaccard 0.62),"everything, know, machu, need, picchu",Machu Picchu Mountain: Everything You Need to Know to Climb,https://www.perugrandtravel.com/blog/machu-picchu-mountain/,Cusco,machu picchu mountain,8,10479,0.000763431625155072,36.84,1162,2026-04-27,CANÓNICA — consolidar aquí
,,,,Trains to Machu Picchu: Everything You Need to Know,https://www.perugrandtravel.com/blog/trains-to-machu-picchu/,Cusco,trains to machu picchu,6,11143,0.000538454635196985,52.63,1399,2026-03-04,Diferenciar intención de búsqueda o fusionar
21,Baja,Títulos muy similares (Jaccard 0.62),"everything, know, machu, need, picchu",The Butterfly conservatory of Machu Picchu: Everything You Need to Know,https://www.perugrandtravel.com/blog/butterfly-conservatory-of-machu-picchu/,Cusco,Butterfly,98,6622,0.0147991543340381,10.08,1543,2024-09-28,CANÓNICA — consolidar aquí
,,,,Trains to Machu Picchu: Everything You Need to Know,https://www.perugrandtravel.com/blog/trains-to-machu-picchu/,Cusco,trains to machu picchu,6,11143,0.000538454635196985,52.63,1399,2026-03-04,Fusionar y redirigir 301 a la canónica
22,Alta,Keyword principal idéntica,luxury hotels in peru,Luxury hotels in Peru: Our top 5 favorites for your trip,https://www.perugrandtravel.com/blog/luxury-hotels-in-peru-belmond/,Luxury,luxury hotels in peru,24,16677,0.00143910775319302,24.52,742,2025-08-08,CANÓNICA — consolidar aquí
,,,,Luxury Hotels in Peru: Where Elevated Travel Transforms the Way You Experience the Country,https://www.perugrandtravel.com/blog/luxury-hotels-in-peru/,Perú,Luxury Hotels in Peru,0,984,0,28.56,2866,2026-02-19,Fusionar y redirigir 301 a la canónica
23,Media,Keyword compartida (principal vs. secundaria),peru,Discover the flora and fauna of Machu Picchu,https://www.perugrandtravel.com/blog/flora-and-fauna-of-machu-picchu/,Cusco,FLORA and FAUNA,43,9568,0.00449414715719064,12.2,883,2024-09-30,CANÓNICA — consolidar aquí
,,,,What to see and do in Peru: Discover the best of this Fascinating Country,https://www.perugrandtravel.com/blog/what-to-see-in-peru/,Lima,peru,2,7736,0.000258531540847984,60.52,1874,2024-09-30,Fusionar y redirigir 301 a la canónica
24,Media,Keyword compartida (principal vs. secundaria),machu picchu,The Butterfly conservatory of Machu Picchu: Everything You Need to Know,https://www.perugrandtravel.com/blog/butterfly-conservatory-of-machu-picchu/,Cusco,Butterfly,98,6622,0.0147991543340381,10.08,1543,2024-09-28,CANÓNICA — consolidar aquí
,,,,Discover the flora and fauna of Machu Picchu,https://www.perugrandtravel.com/blog/flora-and-fauna-of-machu-picchu/,Cusco,FLORA and FAUNA,43,9568,0.00449414715719064,12.2,883,2024-09-30,Diferenciar intención de búsqueda o fusionar
,,,,Top 5 reasons you need to visit Machu Picchu,https://www.perugrandtravel.com/blog/reasons-to-visit-machu-picchu/,Cusco,machu picchu,1,215,0.00465116279069767,48.99,374,2024-09-28,Fusionar y redirigir 301 a la canónica
25,Alta,Keyword principal idéntica,peruvian jungle,Peruvian Jungle Packing Guide: Complete Practical Checklist,https://www.perugrandtravel.com/blog/peruvian-jungle-packing-guide/,Amazonia,peruvian jungle,27,5208,0.00518433179723502,17.53,689,2025-06-13,CANÓNICA — consolidar aquí
,,,,The Best of the Peruvian Jungle: Tour Packages to the Amazon,https://www.perugrandtravel.com/blog/the-peruvian-jungle-tourist-packages-to-the-amazon/,Amazonia,Peruvian Jungle:,15,9023,0.00166241826443533,41.42,2160,2024-11-21,Diferenciar intención de búsqueda o fusionar
,,,,Tourist attractions of the Peruvian jungle,https://www.perugrandtravel.com/blog/tourist-attractions-peruvian-jungle/,Amazonia,Peruvian Jungle,1,1651,0.000605693519079346,29.04,2240,2024-09-30,Fusionar y redirigir 301 a la canónica
26,Media,Keyword compartida (principal vs. secundaria),carnival in peru,"Carnival in Peru: Where to Go, What to Expect &amp; Tips",https://www.perugrandtravel.com/blog/carnival-in-peru/,Perú,Carnival in Peru,41,12006,0.00341495918707313,5.58,4314,2026-01-06,CANÓNICA — consolidar aquí
,,,,Carnival in Brazil vs Carnival in Peru: What’s the Difference and Which One Should You Choose?,https://www.perugrandtravel.com/blog/carnival-in-brazil-vs-carnival-in-peru/,Perú,Carnival in Brazil vs Carnival in Peru,20,3679,0.00543625985322098,8.39,2972,2026-01-12,Diferenciar intención de búsqueda o fusionar
27,Media,Keyword compartida (principal vs. secundaria),ausangate,Discover the 7 Lakes of Ausangate: Everything You Need to Know,https://www.perugrandtravel.com/blog/ausangate-7-lakes/,Cusco,Ausangate,38,14988,0.00253536162263144,9.69,1422,2024-09-30,CANÓNICA — consolidar aquí
,,,,"Ausangate Snow: A Real Guide to Understanding, Trekking, and Experiencing Peru’s Most Sacred Mountain",https://www.perugrandtravel.com/blog/ausangate-snow/,Cusco,Ausangate Snow,,,,,4069,2026-03-26,Fusionar y redirigir 301 a la canónica
28,Alta,Keyword principal idéntica,tourist places,Tourist Places of the Peruvian Coast,https://www.perugrandtravel.com/blog/tourist-places-of-the-peruvian-coast/,Lima,tourist places,14,9314,0.00150311359244149,14,1280,2024-09-30,CANÓNICA — consolidar aquí
,,,,Tourist Places in Lima: Discover the treasures of the Peruvian Capital,https://www.perugrandtravel.com/blog/tourist-places-in-lima/,Lima,tourist places,3,5612,0.000534568781183179,38.65,1939,2024-09-30,Fusionar y redirigir 301 a la canónica
29,Media,Keyword compartida (principal vs. secundaria),trujillo,Best Restaurants in Trujillo Peru: Where to Eat Like a Local and a Food Lover,https://www.perugrandtravel.com/blog/best-restaurants-in-trujillo-peru/,Perú,Best Restaurants in Trujillo Peru,42,10466,0.00401299445824575,6.69,3135,2026-01-16,CANÓNICA — consolidar aquí
,,,,"5 Tourist Attractions in Trujillo, Peru: Complete Travel &amp; Cultural Guide",https://www.perugrandtravel.com/blog/tourist-attractions-in-trujillo/,Perú,Tourist Attractions in Trujillo,26,4156,0.00625601539942252,8.31,2083,2026-01-14,Diferenciar intención de búsqueda o fusionar
30,Media,Keyword compartida (principal vs. secundaria),altitude sickness in cusco,Altitude sickness in Cusco: how to avoid and enjoy your trip,https://www.perugrandtravel.com/blog/altitude-sickness-in-cusco/,Cusco,altitude sickness in cusco,77,14332,0.00537259279933017,15.39,1114,2025-09-01,CANÓNICA — consolidar aquí
,,,,Our Ultimate Cusco Travel Guide,https://www.perugrandtravel.com/blog/the-ultimate-guide-to-cusco/,Cusco,Ultimate Guide to Cusco,,,,,3038,2026-06-06,Fusionar y redirigir 301 a la canónica
31,Alta,Keyword principal idéntica,machu picchu mountain,Machu Picchu Mountain: Everything You Need to Know to Climb,https://www.perugrandtravel.com/blog/machu-picchu-mountain/,Cusco,machu picchu mountain,8,10479,0.000763431625155072,36.84,1162,2026-04-27,CANÓNICA — consolidar aquí
,,,,Machu Picchu Mountain: Is It Worth Trekking?,https://www.perugrandtravel.com/blog/machu-picchu-mountain-peru/,Cusco,machu picchu mountain,2,1657,0.0012070006035003,55.32,596,2025-05-30,Fusionar y redirigir 301 a la canónica
32,Baja,Títulos muy similares (Jaccard 0.67),"days, inca, machu, picchu, short, trail",My Journey on the Short Inca Trail 2 Days to Machu Picchu,https://www.perugrandtravel.com/blog/my-journey-on-the-short-inca-trail-2-days-to-machu-picchu/,Cusco,My Journey on the Short Inca Trail 2 Days,37,6449,0.00573732361606451,25.52,1722,2026-01-10,CANÓNICA — consolidar aquí
,,,,The Inca Trail 2 Days: The Perfect Short Adventure to Machu Picchu,https://www.perugrandtravel.com/blog/inca-trail-2-days/,Cusco,Inca Trail 2 Days,8,2094,0.00382043935052531,51.14,1918,2025-12-17,Fusionar y redirigir 301 a la canónica
33,Alta,Keyword principal idéntica,inca trail,The ultimate Inca Trail to Machu Picchu Guide 2026,https://www.perugrandtravel.com/blog/inca-trail-to-machu-picchu-guide-2026/,Cusco,Inca Trail,7,4881,0.00143413234992829,17.3,2982,2025-12-13,CANÓNICA — consolidar aquí
,,,,4 Days on the Inca Trail: A journey you'll never forget,https://www.perugrandtravel.com/blog/4-days-on-the-inca-trail/,Cusco,Inca Trail:,5,1708,0.00292740046838408,16.85,1554,2024-11-21,Diferenciar intención de búsqueda o fusionar
,,,,Frequently Asked Questions about the Inca Trail to Machu Picchu,https://www.perugrandtravel.com/blog/inca-trail-faq/,Cusco,inca trail,3,1371,0.00218818380743983,37.43,1934,2024-09-28,Diferenciar intención de búsqueda o fusionar
,,,,Inca Trail vs. Salkantay: Which is the more spectacular trekking route?,https://www.perugrandtravel.com/blog/inca-trail-vs-salkantay/,Cusco,inca trail,0,248,0,77.45,335,2024-09-28,Fusionar y redirigir 301 a la canónica
34,Media,Keyword compartida (principal vs. secundaria),luxury,Luxury Hotels in Aguas Calientes Peru: Where Your Machu Picchu Experience Truly Begins,https://www.perugrandtravel.com/blog/luxury-hotels-in-aguas-calientes/,Cusco,Luxury Hotels in Aguas Calientes,10,5272,0.00189681335356601,13.51,1556,2026-02-18,CANÓNICA — consolidar aquí
,,,,"Luxury Hotels in Cusco, Peru: Where Elevated Travel Meets Andean Legacy",https://www.perugrandtravel.com/blog/luxury-hotels-in-cusco/,Cusco,Luxury Hotels in Cusco,1,2705,0.000369685767097967,27.67,3286,2026-02-17,Fusionar y redirigir 301 a la canónica
35,Alta,Keyword principal idéntica,attractions,The Best Tourist attractions in Machu Picchu – Discover Them!,https://www.perugrandtravel.com/blog/machu-picchu-tourist-attractions/,Cusco,attractions,10,5885,0.00169923534409516,38.88,1617,2024-09-28,CANÓNICA — consolidar aquí
,,,,Top 7 tourist attractions in Cusco not to be missed,https://www.perugrandtravel.com/blog/cusco-tourist-attractions/,Cusco,attractions,0,1365,0,64.26,1013,2024-09-28,Fusionar y redirigir 301 a la canónica
36,Media,Títulos muy similares (Jaccard 0.83),"aguas, calientes, machu, picchu, pueblo",The Best Restaurants in Aguas Calientes - Machu Picchu Pueblo,https://www.perugrandtravel.com/blog/best-restaurants-in-aguas-calientes/,Cusco,best restaurants,10,3494,0.00286204922724671,19.07,1211,2024-09-28,CANÓNICA — consolidar aquí
,,,,What to do in Aguas Calientes ou Machu Picchu Pueblo,https://www.perugrandtravel.com/blog/what-to-do-in-aguas-calientes/,Cusco,aguas calientes,10,2401,0.0041649312786339,34.73,1576,2024-09-30,Diferenciar intención de búsqueda o fusionar
37,Alta,Keyword principal idéntica,rainbow mountain,Ready for the Rainbow Mountain? Read this first,https://www.perugrandtravel.com/blog/rainbow-mountain/,Cusco,Rainbow Mountain,20,4432,0.00451263537906137,7.62,893,2025-05-30,CANÓNICA — consolidar aquí
,,,,Travel Tips to Visit Rainbow Mountain in Peru,https://www.perugrandtravel.com/blog/tips-rainbow-mountain-peru/,Cusco,rainbow mountain,2,795,0.00251572327044025,39.36,1189,2024-09-28,Fusionar y redirigir 301 a la canónica
38,Alta,Keyword principal idéntica,rural tourism in peru,Rural Tourism in Peru: Authentic Experiences,https://www.perugrandtravel.com/blog/rural-tourism-in-peru/,Cusco,Rural tourism in Peru,25,4198,0.00595521676989042,14.76,1672,2024-09-30,CANÓNICA — consolidar aquí
,,,,10 Rural Tourism in Peru: The Ultimate Guide to an Unforgettable and Authentic Journey,https://www.perugrandtravel.com/blog/experience-rural-tourism-in-peru/,Perú,Rural Tourism in Peru,8,909,0.0088008800880088,15.77,3254,2026-04-07,Fusionar y redirigir 301 a la canónica
39,Baja,Títulos muy similares (Jaccard 0.6),"food, must, try",The 5 Best Food in Lima Peru You Must Try,https://www.perugrandtravel.com/blog/best-food-in-lima/,Lima,best food in lima Peru,3,3589,0.000835887433825578,32.74,1008,2024-09-30,CANÓNICA — consolidar aquí
,,,,The 5 Best Food in Cusco You Must Try,https://www.perugrandtravel.com/blog/best-food-in-cusco/,Cusco,best food in Cusco,2,416,0.00480769230769231,64.24,511,2024-09-28,Diferenciar intención de búsqueda o fusionar
40,Media,Keyword compartida (principal vs. secundaria),museums in lima,7 Museums to Visit in Lima: Discover the Cultural Heritage,https://www.perugrandtravel.com/blog/museums-in-lima/,Lima,lima,8,3757,0.00212935853074261,24.59,1758,2024-09-30,CANÓNICA — consolidar aquí
,,,,10 Fascinating Museums in Lima: The Sophisticated Traveler’s Cultural Oasis,https://www.perugrandtravel.com/blog/best-museums-in-lima/,Lima,Museums in Lima,1,238,0.00420168067226891,30.56,2368,2026-04-30,Fusionar y redirigir 301 a la canónica
41,Alta,Keyword principal idéntica,7 days in peru,"7 Days in Peru: Lima, Cusco, and Puno Adventure Awaits",https://www.perugrandtravel.com/blog/7-days-in-peru-lima-cusco-and-puno/,Perú,7 days in Peru,11,2595,0.00423892100192678,27.84,1363,2025-06-27,CANÓNICA — consolidar aquí
,,,,What to See in Peru in 7 Days: The perfect itinerary for your short vacation,https://www.perugrandtravel.com/blog/7-days-in-peru/,Cusco,7 days In peru,0,978,0,66.23,1561,2024-12-10,Fusionar y redirigir 301 a la canónica
42,Baja,Títulos muy similares (Jaccard 0.67),"attractions, see, tourist, visit",The 7 best Puno tourist attractions: What to See and Visit,https://www.perugrandtravel.com/blog/puno-tourist-attractions/,Puno,Puno tourist attractions,3,990,0.00303030303030303,27.37,1246,2024-09-30,CANÓNICA — consolidar aquí
,,,,The Best Tourist Attractions in Lima: What to See and Visit,https://www.perugrandtravel.com/blog/lima-tourist-attractions/,Lima,Tourist Attractions in Lima,2,2432,0.000822368421052632,53.71,678,2024-09-30,Diferenciar intención de búsqueda o fusionar
43,Media,Títulos muy similares (Jaccard 1.0),"circuit, critical, differences, know, machu, must, picchu",Machu Picchu Circuit 2 vs. Circuit 1: 5 Critical Differences You Must Know for 2026,https://www.perugrandtravel.com/blog/machu-picchu-circuit-2-vs-circuit-1/,Cusco,Machu Picchu Circuit 2 vs. Circuit 1,28,2325,0.0120430107526882,9.15,1758,2026-05-04,CANÓNICA — consolidar aquí
,,,,Machu Picchu Circuit 2 vs. Circuit 3: 5 Critical Differences You Must Know for 2026,https://www.perugrandtravel.com/blog/machu-picchu-circuit-2-vs-circuit-3/,Cusco,Machu Picchu Circuit 2 vs. Circuit 3,8,789,0.0101394169835235,10.26,1558,2026-06-04,Fusionar y redirigir 301 a la canónica
44,Media,Keyword compartida (principal vs. secundaria),lake humantay,"Humantay Lagoon Cusco: Altitude, Origin, Recommendations",https://www.perugrandtravel.com/blog/laguna-humantay-cusco/,Cusco,Humantay,2,2531,0.000790201501382853,29.32,1265,2024-09-28,CANÓNICA — consolidar aquí
,,,,Lake Humantay Tour 2026: The Ultimate Guide to Cusco’s Turquoise Jewel,https://www.perugrandtravel.com/blog/lake-humantay/,Cusco,Lake Humantay,0,232,0,9.5,1971,2026-03-05,Fusionar y redirigir 301 a la canónica
45,Media,Keyword compartida (principal vs. secundaria),sacred valley,Sacred Valley: Connection to Machu Picchu in 2 days,https://www.perugrandtravel.com/blog/sacred-valley-and-machu-picchu-in-2-days/,Cusco,sacred valley and machu picchu,3,458,0.00655021834061135,42.36,1505,2026-04-11,CANÓNICA — consolidar aquí
,,,,Explore the Ruins of the Sacred Valley: Archaeological Route,https://www.perugrandtravel.com/blog/sacred-valley-ruins/,Cusco,sacred valley,1,2181,0.000458505272810637,52.05,725,2024-09-30,Fusionar y redirigir 301 a la canónica
46,Alta,Keyword principal idéntica,cusco in couples,Cusco for Couples: A Romantic Guide to Exploring the Inca City,https://www.perugrandtravel.com/blog/cusco-in-couples/,Cusco,Cusco in Couples,22,2393,0.00919348098620978,12.94,1817,2024-09-20,CANÓNICA — consolidar aquí
,,,,Discover the Culture of Cusco: An Unforgettable Journey to the Heart of the Inca Empire,https://www.perugrandtravel.com/blog/discover-the-culture-of-cusco/,Cusco,Cusco in Couples,1,172,0.00581395348837209,21.52,1468,2024-09-20,Fusionar y redirigir 301 a la canónica
47,Alta,Keyword principal idéntica,treks to machu picchu,6 Best Treks to Machu Picchu: Which Route Fits Your Spirit?,https://www.perugrandtravel.com/blog/treks-to-machu-picchu-2026/,Cusco,Treks to Machu Picchu,3,1589,0.00188797986154814,33.92,2267,2025-12-22,CANÓNICA — consolidar aquí
,,,,The most beautiful treks to Machu Picchu,https://www.perugrandtravel.com/blog/treks-to-machu-picchu/,Cusco,treks to Machu Picchu,0,845,0,73.16,812,2026-04-23,Fusionar y redirigir 301 a la canónica
48,Alta,Keyword principal idéntica,places to visit in cusco,Discover the Best Places to Visit in Cusco: The Jewel of the Andes,https://www.perugrandtravel.com/blog/best-places-to-visit-cusco/,Cusco,places to visit in cusco,1,1676,0.000596658711217184,48.28,1734,2024-10-04,CANÓNICA — consolidar aquí
