Keyword Stats 2026-08-26 at 14_06_41,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,_sheet
nature & adventure packages,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
peru multidestination packages,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
perú packages,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
salkantay trek,8100,-0.18,0,Bajo,15,1.24,6.35,,,,Y,9900,12100,9900,6600,5400,5400,4400,8100,12100,12100,9900,9900,Keyword Stats 2026-08-26 at 14_
inca trail,2900,-0.45,-0.17,Bajo,18,1.64,7.36,,,,,3600,2900,2900,2400,2400,2400,1900,2400,2900,4400,2900,2400,Keyword Stats 2026-08-26 at 14_
belmond,2400,-0.16,-0.33,Bajo,20,2,23.6,,,,,2400,2400,2400,2400,1900,2400,1900,2900,6600,1900,1900,1600,Keyword Stats 2026-08-26 at 14_
ausangate trek,1600,-0.32,-0.46,Bajo,13,0.9,3.97,,,,,1900,1900,1900,1600,1300,1000,720,1600,1600,1900,1600,1300,Keyword Stats 2026-08-26 at 14_
choquequirao trek,1000,-0.23,-0.38,Bajo,12,0.89,4.44,,,,Y,1300,1300,1300,1000,1000,1000,720,880,1000,1300,1300,1000,Keyword Stats 2026-08-26 at 14_
machu picchu tours,1000,-0.12,-0.32,Bajo,30,0.76,9.95,,,,Y,1300,1300,1300,1300,1300,1000,880,1000,1000,1000,1000,880,Keyword Stats 2026-08-26 at 14_
offers,880,-0.28,-0.28,Bajo,2,,,,,,,1000,1000,1000,1000,880,1000,880,880,880,1000,880,720,Keyword Stats 2026-08-26 at 14_
short inca trail,720,-0.34,-0.46,Bajo,5,1.79,8.19,,,,Y,880,880,880,880,590,590,720,720,720,590,480,390,Keyword Stats 2026-08-26 at 14_
lares trek,590,-0.33,-0.45,Bajo,15,1.1,4.97,,,,,720,880,880,590,480,480,590,590,590,720,590,480,Keyword Stats 2026-08-26 at 14_
machu picchu by train,590,-0.33,-0.33,Medio,55,1.31,5.88,,,,Y,720,880,720,590,720,480,320,590,590,720,480,480,Keyword Stats 2026-08-26 at 14_
full day tours,210,0.52,-0.18,Bajo,31,0.24,1.04,,,,,210,170,170,170,210,320,210,210,210,210,170,320,Keyword Stats 2026-08-26 at 14_
cusco day tours,170,-0.19,-0.19,Medio,55,1.58,5.95,,,,Y,210,260,210,170,170,140,110,140,170,210,210,170,Keyword Stats 2026-08-26 at 14_
day trips,170,-0.19,0.21,Bajo,28,1.57,9.56,,,,,140,140,140,110,140,210,140,170,260,210,170,170,Keyword Stats 2026-08-26 at 14_
machu picchu day tours,170,0,0.21,Bajo,9,6.03,26.69,,,,,90,170,210,170,170,170,140,170,110,170,110,170,Keyword Stats 2026-08-26 at 14_
luxury travel machu picchu,140,0,0.91,Bajo,6,2.59,7.27,< 1%,,,Y,170,90,70,110,140,50,70,90,390,210,210,210,Keyword Stats 2026-08-26 at 14_
machu picchu packages travel,140,-0.48,0.57,Bajo,7,1.4,8.2,,,,,140,140,140,210,90,70,260,210,110,210,70,110,Keyword Stats 2026-08-26 at 14_
peru vacation packages,140,2.4,0.89,Bajo,3,1.02,2.95,,,,Y,90,110,210,90,140,110,70,110,50,50,260,170,Keyword Stats 2026-08-26 at 14_
tailor made,110,-0.21,-0.21,Bajo,0,,,,,,,140,140,140,110,110,110,110,110,140,140,140,110,Keyword Stats 2026-08-26 at 14_
classic inca trail,90,-0.43,-0.76,Bajo,9,1.37,2.97,,,,Y,170,140,140,170,70,50,50,50,50,70,70,40,Keyword Stats 2026-08-26 at 14_
sacred valley day tours,90,-0.44,-0.44,Alto,75,2.11,6.42,,,,,110,90,140,50,40,40,70,70,110,90,90,50,Keyword Stats 2026-08-26 at 14_
special offers,40,0.67,0.25,Bajo,0,,,,,,,30,50,40,40,30,50,30,30,30,30,50,50,Keyword Stats 2026-08-26 at 14_
adventure tours,30,0,-0.25,Bajo,4,,,,,,,30,30,30,20,20,30,20,30,30,30,20,30,Keyword Stats 2026-08-26 at 14_
day tours,30,0.67,0.25,Bajo,9,,,,,,,40,30,40,20,30,30,20,50,30,30,30,50,Keyword Stats 2026-08-26 at 14_
luxury machu picchu,20,1,3,Bajo,7,1.86,7.99,,,,Y,10,10,10,20,20,10,10,20,30,20,20,40,Keyword Stats 2026-08-26 at 14_
luxury tours,20,13,13,Bajo,5,0.44,3.09,,,,,10,10,10,10,10,10,10,10,20,10,20,140,Keyword Stats 2026-08-26 at 14_
amazon packages,10,0,0,Bajo,0,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,Keyword Stats 2026-08-26 at 14_
cultural tours,10,0,0,Bajo,14,,,,,,,0,10,10,10,10,10,10,10,0,10,10,10,Keyword Stats 2026-08-26 at 14_
custom peru tours,10,1,1,Bajo,2,,,,,,Y,10,10,10,10,10,10,10,10,10,10,10,20,Keyword Stats 2026-08-26 at 14_
luxury train experiences,10,-1,0,,,,,,,,,10,0,0,0,10,0,0,0,0,10,0,0,Keyword Stats 2026-08-26 at 14_
machu picchu packages,10,0,0,Bajo,18,0.44,2.5,,,,Y,30,10,10,10,10,30,10,10,10,10,10,10,Keyword Stats 2026-08-26 at 14_
nature tours,10,-1,-1,,,,,,,,,10,10,10,0,10,0,10,10,10,10,10,0,Keyword Stats 2026-08-26 at 14_
peru travel deals,10,-1,-1,,,,,,,,,0,0,0,0,10,0,0,10,0,10,10,0,Keyword Stats 2026-08-26 at 14_
private tours,10,1,0,Bajo,7,,,,,,,20,20,10,10,10,20,10,10,10,10,10,20,Keyword Stats 2026-08-26 at 14_
tailor made tours,10,∞,0,Bajo,2,,,,,,,10,10,10,0,10,10,10,10,0,0,0,10,Keyword Stats 2026-08-26 at 14_
travel offers,10,0,0,Bajo,12,,,,,,,10,10,0,0,0,10,10,10,10,10,10,10,Keyword Stats 2026-08-26 at 14_
custom adventure tours,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Keyword Stats 2026-08-26 at 14_
custom luxury tours,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Keyword Stats 2026-08-26 at 14_
luxury travel offers,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Keyword Stats 2026-08-26 at 14_
