Título,URL,Slug,Categoría de tour,Estilo de viaje,Etiquetas,Keyword principal,Keywords secundarias,Título SEO,Meta description,SEO score,Palabras,Publicado,Modificado,Estado,Clics,Impresiones,CTR,Posición,col_19,col_20
Peru explore the culture with Amazon rainforest 9D/8N,https://www.perugrandtravel.com/tour/peru-amazon-rainforest-9d/,peru-amazon-rainforest-9d,Tours in Peru,Combined Travel,Peru,peru itinerary 9 days,,9-Day Peru Itinerary: Cultural Amazon & Machu Picchu Tour,"Experience Peru’s top highlights on a 9-day itinerary, visiting Lima, Cusco, Machu Picchu, the Sacred Valley and the Amazon Rainforest.",72,0,2012-01-07,2026-06-02,publish,2,420,0.00476190476190476,47.65,,
Cusco Rafting and Zipline Full Day,https://www.perugrandtravel.com/tour/cusco-rafting-and-zipline/,cusco-rafting-and-zipline,,,,cusco rafting,,CUSCO RAFTING and Zipline adventure in Cusco Peru,"Book your Cusco Rafting and zip line tour: Best full adrenaline adventure, daily departures from Cusco, best prices, whitewater rafting.",74,0,2023-03-17,2024-10-01,publish,2,346,0.00578034682080925,41.42,,
Wonderful Peru 12D/11N,https://www.perugrandtravel.com/tour/wonderful-peru-12-days/,wonderful-peru-12-days,Tours in Peru,Combined Travel,Peru,Peru Itinerary 12 days,,"12-Day Peru Tour: Machu Picchu, Puno & Arequipa","Visit Machu Picchu, Lake Titicaca and Arequipa on a 12-day Peru vacation full of culture, history and spectacular scenery.",77,0,2012-01-12,2026-06-03,publish,2,333,0.00600600600600601,35.64,,
City Tour in Cusco,https://www.perugrandtravel.com/tour/city-tour-in-cusco/,city-tour-in-cusco,,,,machu picchu full day,,▷ Cusco City Tour - 1 day tour,"Dare to know Cusco and book your City Tour Cusco, here, at the best price and service, include ✔️Transportacion, ✔️Guide, ✔️ Best experience.",61,0,2024-08-05,2024-10-01,publish,2,294,0.00680272108843537,65.31,,
Colonial Lima and Sacred land of the Incas 7D/6N,https://www.perugrandtravel.com/tour/colonial-lima-and-sacred-land-of-the-incas-7d/,colonial-lima-and-sacred-land-of-the-incas-7d,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,"Lima tours, Peru, Popular Deals",peru itinerary 7 days,,"7-Day Peru Itinerary: Lima, Cusco & Machu Picchu Tour","Experience Peru in 7 days with Lima, Cusco and Machu Picchu! With guided tours, cultural highlights, local cuisine and iconic landmarks.",73,0,2012-01-02,2026-06-02,publish,1,6263,0.000159667890787163,17.45,,
Salkantay SKY Trek 4 days,https://www.perugrandtravel.com/tour/salkantay-trek-4-days/,salkantay-trek-4-days,Alternative Inca Trail Treks,Trekking,Salkantay Treks,Salkantay Trek 4 days,,4-Day Salkantay Sky Camp Trek to Machu Picchu,Experience the Salkantay Trek to Machu Picchu in 4 days with Sky Camp lodging and spectacular mountain landscapes.,75,0,2012-03-04,2026-06-04,publish,1,3259,0.000306842589751458,51.46,,
"Tour of Maras, Moray & Salineras from Cusco",https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/,maras-moray-and-the-salineras-full-day,Day Tours in Cusco,"Adrenaline, Traditional",Cusco,maras salt mines tour,,"Maras, Moray & Salt Mines Tour from Cusco",Visit the Moray terraces and Maras Salt Mines on a scenic cultural day tour departing from Cusco and surroundings.,69,0,2022-04-01,2026-06-04,publish,1,2816,0.000355113636363636,46.89,,
Inca Bridge of Q'eswachaka Full Day,https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/,qeswachaka-bridge-full-day,Day Tours in Cusco,Culture,Cusco,q'eswachaka rope bridge tour,,Q’eswachaka Bridge Full-Day Tour from Cusco,Visit Peru’s last remaining Inca suspension bridge on a unique cultural day tour from Cusco and surrounding Sacred Valley area.,73,0,2023-03-20,2026-06-04,publish,1,1611,0.000620732464307883,30.18,,
Sacred Valley + Short Inca Trail 3 days,https://www.perugrandtravel.com/tour/sacred-valley-short-inca-trail-3d/,sacred-valley-short-inca-trail-3d,Inca Trail Treks,Trekking,Inca Trail,inca trail 3 days,,3-Day Sacred Valley & Short Inca Trail Tour,Combine Sacred Valley excursions with the Short Inca Trail on a complete Machu Picchu unforgettable adventure.,72,0,2012-03-02,2026-06-04,publish,1,1603,0.000623830318153462,58.84,,
Incredible Machu Picchu 2D/1N,https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/,incredible-machu-picchu-2d,Tours in Machu Picchu,Traditional,Machu Picchu Tours,machu picchu tour from cusco 2 days,,2-Day Sacred Valley & Machu Picchu Tour by Train,Visit Sacred Valley and Machu Picchu on a 2-day trip featuring scenic train rides and cultural experiences.,75,0,2012-02-02,2026-06-04,publish,1,1329,0.000752445447705041,45.54,,
Salkantay SKY Trek 5 days,https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,the-classic-salkantay-trek-5d,Alternative Inca Trail Treks,Trekking,Salkantay Treks,salkantay trek 5 days,,5-Day Salkantay Sky Camp Trek to Machu Picchu,"Hike the Salkantay Trek to Machu Picchu in 5 days with Sky Camp accommodation, breathtaking scenery, and unforgettable adventure experiences.",81,0,2012-03-05,2026-06-04,publish,1,1218,0.000821018062397373,26.79,,
Corpus Christi in Cusco 4 days,https://www.perugrandtravel.com/tour/cusco-corpus-christi/,cusco-corpus-christi,,,Offers,Corpus Christi in Cusco,,"4-Day Corpus Christi Festival in Cusco, Peru","Join the Corpus Christi festival in Cusco, Peru, on a 4-day cultural tour with traditional processions and Andean heritage celebrations.",80,0,2023-12-28,2026-06-04,publish,1,1211,0.000825763831544178,33.92,,
Machu Picchu Moderate 4D/3N,https://www.perugrandtravel.com/tour/machu-picchu-moderate-4d/,machu-picchu-moderate-4d,Tours in Machu Picchu,Traditional,Machu Picchu Tours,Sacred Valley and Machu Picchu Tour,,4-Day Machu Picchu Itinerary with Cusco & Sacred Valley,"Explore Cusco, Sacred Valley, and Machu Picchu on a 4-day journey ideal for travelers seeking comfort, culture, and adventure.",65,0,2012-02-04,2026-06-04,publish,1,1209,0.000827129859387924,38.05,,
Humantay Lake Hike (Full Day),https://www.perugrandtravel.com/tour/humantay-lake-full-day/,humantay-lake-full-day,Day Tours in Cusco,Trekking,"Cusco, Others",humantay lake hike,,Humantay Lake Full-Day Tour from Cusco,Hike to the stunning Humantay Lake and experience one of the most beautiful natural landscapes near Cusco. Book Now.,76,0,2022-04-01,2026-06-04,publish,1,1107,0.000903342366757001,67.81,,
Cusco Planetarium Experience,https://www.perugrandtravel.com/tour/cusco-planetarium/,cusco-planetarium,,,,Cusco Planetarium,,Cusco Planetarium Experience - Peru Grand Travel,"Book your excursion to the Cusco Planetarium. Learn more about Inca astronomy, how they used it for religion and agriculture.",76,0,2024-08-08,2024-10-01,publish,1,784,0.00127551020408163,20.62,,
Grand Deluxe Cusco & Machu Picchu by Casa Andina hotels 5 days,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days/,grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days,,,Luxury Peru Tours,Casa Andina hotels,,Private Machu Picchu Tour 5 Days with Casa Andina Hotels,"Enjoy a 5-day private journey through Cusco, the Sacred Valley and Machu Picchu, staying at Casa Andina hotels with premium comfort.",77,0,2024-12-12,2026-06-04,publish,1,735,0.00136054421768708,37.6,,
Machu Picchu Challenge 8D/7N,https://www.perugrandtravel.com/tour/machu-picchu-challenge-8d/,machu-picchu-challenge-8d,Tours in Machu Picchu,Traditional,"Machu Picchu Tours, Popular Deals",machu picchu and rainbow mountain tour,,8-Day Machu Picchu Adventure Itinerary with Cusco,"Uncover Cusco, Andean trails, and Machu Picchu on an exciting 8-day adventure itinerary designed for active travelers.",75,0,2012-02-09,2026-06-04,publish,1,589,0.00169779286926995,10.13,,
Spectacular Cusco 7 days,https://www.perugrandtravel.com/tour/spectacular-cusco-7-days/,spectacular-cusco-7-days,,"Combined Travel, Traditional",Offers,cusco tour,,Cusco 7-Day Itinerary with Sacred Valley & Inca Heritage,"Experience Cusco in 7 days, the ancient capital of the Inca Empire, with visits to archaeological sites, cultural experiences, landscapes.",65,0,2012-02-07,2026-06-04,publish,1,556,0.00179856115107914,24.91,,
Machu Picchu Express 3D/2N,https://www.perugrandtravel.com/tour/machu-picchu-express-3d/,machu-picchu-express-3d,Tours in Machu Picchu,Traditional,Machu Picchu Tours,machu picchu 3 days,,3-Day Machu Picchu Express Tour from Cusco,"Perfect for those on limited time, this 3-day Machu Picchu tour includes the main Cusco highlights, train travel and guided visits.",75,0,2012-02-03,2026-06-04,publish,1,528,0.00189393939393939,29.78,,
Tour South Valley,https://www.perugrandtravel.com/tour/tour-south-valley-cusco/,tour-south-valley-cusco,,,,South Valley in cusco,,South Valley in Cusco: Discover Hidden Gems,"Explore Piquillacta, Tipón, and Andahuaylillas in the South Valley in Cusco. Dive into history and culture. Book your adventure now!",74,0,2024-08-05,2024-10-01,publish,1,374,0.00267379679144385,50.01,,
"Wonder of Peru Coast, Andes and Rainforest 13D/12N",https://www.perugrandtravel.com/tour/wonder-of-peru-coast-andes-and-rainforest-13d/,wonder-of-peru-coast-andes-and-rainforest-13d,Tours in Peru,Combined Travel,Peru,peru itinerary 13 days,,"13-Day Peru Itinerary with Coast, Andes & Amazon Adventure","Discover Peru in 13 days from the coast to the Andes and the Amazon. Visit Lima, the Ballestas Islands, Huacachina dunes and Cusco.",73,0,2012-01-13,2026-06-03,publish,1,316,0.00316455696202532,34.67,,
Choquequirao Trek 5 days,https://www.perugrandtravel.com/tour/choquequirao-trek-5d/,choquequirao-trek-5d,Alternative Inca Trail Treks,Trekking,Others,choquequirao trek,,5-Day Choquequirao Trek from Cusco,Trek to the hidden Inca citadel of Choquequirao through remote Andean landscapes and breathtaking mountain scenery.,77,0,2012-03-07,2026-06-04,publish,1,274,0.00364963503649635,59.69,,
Grand Deluxe Cusco & Machu Picchu by Inkaterra Hotels 5 days,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days/,grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days,,,Luxury Peru Tours,Inkaterra Hotels,,Private Machu Picchu Tour 5 Days with Inkaterra,"Experience a 5-day private luxury journey through Cusco, the Sacred Valley and Machu Picchu, staying at Inkaterra eco-luxury hotels.",75,0,2024-12-12,2026-06-04,publish,1,215,0.00465116279069767,38.62,,
Tour Super Sacred Valley of The Incas VIP,https://www.perugrandtravel.com/tour/super-sacred-valley-tour/,super-sacred-valley-tour,,,,sacred valley tour,,Sacred Valley of the Incas Tour,"Sacred valley of the incas is waiting for you, book here at the best price and service, include ✔️Transportacion, ✔️Guide, ✔️ Best experience.",64,0,2024-08-07,2024-10-22,publish,1,119,0.00840336134453782,56.56,Migrado,
Machu Picchu Extreme Challenge 8D/7N,https://www.perugrandtravel.com/tour/machu-picchu-extreme-challenge/,machu-picchu-extreme-challenge,"Best Selling Packages in Peru, Tours in Machu Picchu",Adrenaline,Machu Picchu Tours,machu picchu itinerary 8 days,,8-Day Machu Picchu Extreme Challenge Itinerary,Take on an 8-day Machu Picchu adventure through the Andes. Perfect for trekkers and nature lovers seeking an unforgettable experience.,68,0,2012-02-10,2026-06-04,publish,1,54,0.0185185185185185,11.57,Migrado,
Gastronomic and Historic Peru 10D/9N,https://www.perugrandtravel.com/tour/gastronomic-and-historic-peru-10d/,gastronomic-and-historic-peru-10d,Tours in Peru,Combined Travel,"Gastronomic, Peru, Recommended",peru itinerary 10 days,,10-Day Peru Food & Culture Tour: Cusco & Lake Titicaca,"Enjoy Peru’s renowned cuisine while visiting Lima, Cusco, Machu Picchu, the Sacred Valley and Lake Titicaca on a 10-day journey.",69,0,2012-01-10,2026-06-02,publish,0,3300,0,8.15,,
Classic Machu Picchu 5D/4N,https://www.perugrandtravel.com/tour/classic-machu-picchu-5d/,classic-machu-picchu-5d,"Best Selling Packages in Peru, Tours in Machu Picchu",Traditional,"Cusco Blog, Machu Picchu Tours, Popular Deals",machu picchu itinerary 5 days,,5-Day Classic Machu Picchu Itinerary with Cusco,"Discover Cusco, Sacred Valley, and Machu Picchu on one of Peru’s most popular travel itineraries unforgettable journey.",72,0,2012-02-05,2026-06-04,publish,0,2912,0,5.16,,
Origins of the Incas 10D/9N,https://www.perugrandtravel.com/tour/origins-of-the-incas-10d/,origins-of-the-incas-10d,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,"Gastronomic, Ica Tours, Lima tours, Peru, Popular Deals, Puno Blog",peru itinerary 10 days,,"10-Day Peru Itinerary with Lima, Nazca, Cusco & Puno","Explore Peru in 10 days with visits to Lima, the Nazca Lines, Cusco, Machu Picchu and Lake Titicaca. Uncover Peru’s rich history and culture.",69,0,2012-01-09,2026-06-03,publish,0,1726,0,13.17,,
